DateKey,Date,DateUK,DateUS,Day,OrdinalSuffix,Month,MonthName,FirstOfMonth,Quarter,Year,FirstOfYear,Week,DayOfWeek,DayName
20220802,"2022-08-02","02/08/2022","08/02/2022",2,"nd",8,"August","2022-08-01",3,2022,"2022-01-01",32,3,"Tuesday"
20220803,"2022-08-03","03/08/2022","08/03/2022",3,"rd",8,"August","2022-08-01",3,2022,"2022-01-01",32,4,"Wednesday"
20220804,"2022-08-04","04/08/2022","08/04/2022",4,"th",8,"August","2022-08-01",3,2022,"2022-01-01",32,5,"Thursday"
20220805,"2022-08-05","05/08/2022","08/05/2022",5,"th",8,"August","2022-08-01",3,2022,"2022-01-01",32,6,"Friday"
20220806,"2022-08-06","06/08/2022","08/06/2022",6,"th",8,"August","2022-08-01",3,2022,"2022-01-01",32,7,"Saturday"
20220807,"2022-08-07","07/08/2022","08/07/2022",7,"th",8,"August","2022-08-01",3,2022,"2022-01-01",33,1,"Sunday"
20220808,"2022-08-08","08/08/2022","08/08/2022",8,"th",8,"August","2022-08-01",3,2022,"2022-01-01",33,2,"Monday"
20220809,"2022-08-09","09/08/2022","08/09/2022",9,"th",8,"August","2022-08-01",3,2022,"2022-01-01",33,3,"Tuesday"
20220810,"2022-08-10","10/08/2022","08/10/2022",10,"th",8,"August","2022-08-01",3,2022,"2022-01-01",33,4,"Wednesday"
20220811,"2022-08-11","11/08/2022","08/11/2022",11,"th",8,"August","2022-08-01",3,2022,"2022-01-01",33,5,"Thursday"
20220812,"2022-08-12","12/08/2022","08/12/2022",12,"th",8,"August","2022-08-01",3,2022,"2022-01-01",33,6,"Friday"
20220813,"2022-08-13","13/08/2022","08/13/2022",13,"th",8,"August","2022-08-01",3,2022,"2022-01-01",33,7,"Saturday"
20220814,"2022-08-14","14/08/2022","08/14/2022",14,"th",8,"August","2022-08-01",3,2022,"2022-01-01",34,1,"Sunday"
20220815,"2022-08-15","15/08/2022","08/15/2022",15,"th",8,"August","2022-08-01",3,2022,"2022-01-01",34,2,"Monday"
20220816,"2022-08-16","16/08/2022","08/16/2022",16,"th",8,"August","2022-08-01",3,2022,"2022-01-01",34,3,"Tuesday"
20220817,"2022-08-17","17/08/2022","08/17/2022",17,"th",8,"August","2022-08-01",3,2022,"2022-01-01",34,4,"Wednesday"
20220818,"2022-08-18","18/08/2022","08/18/2022",18,"th",8,"August","2022-08-01",3,2022,"2022-01-01",34,5,"Thursday"
20220819,"2022-08-19","19/08/2022","08/19/2022",19,"th",8,"August","2022-08-01",3,2022,"2022-01-01",34,6,"Friday"
